date,model,lead,forecast_tmax
2026-06-01,ECMWF,D-1,30.3
2026-06-01,ECMWF,D-2,30.2
2026-06-01,ECMWF,D-3,30.4
2026-06-01,ICON,D-1,32.6
2026-06-01,ICON,D-2,31.3
2026-06-01,ICON,D-3,30.8
2026-06-01,GFS,D-1,29.6
2026-06-01,GFS,D-2,28.7
2026-06-01,GFS,D-3,28.6
2026-06-02,ECMWF,D-1,22.6
2026-06-02,ECMWF,D-2,22.8
2026-06-02,ECMWF,D-3,25.6
2026-06-02,ICON,D-1,22.9
2026-06-02,ICON,D-2,21.8
2026-06-02,ICON,D-3,22.0
2026-06-02,GFS,D-1,21.9
2026-06-02,GFS,D-2,22.8
2026-06-02,GFS,D-3,23.1
2026-06-03,ECMWF,D-1,27.0
2026-06-03,ECMWF,D-2,26.8
2026-06-03,ECMWF,D-3,26.2
2026-06-03,ICON,D-1,29.4
2026-06-03,ICON,D-2,29.1
2026-06-03,ICON,D-3,29.9
2026-06-03,GFS,D-1,27.7
2026-06-03,GFS,D-2,27.1
2026-06-03,GFS,D-3,28.1
2026-06-04,ECMWF,D-1,24.5
2026-06-04,ECMWF,D-2,24.6
2026-06-04,ECMWF,D-3,23.5
2026-06-04,ICON,D-1,25.5
2026-06-04,ICON,D-2,25.5
2026-06-04,ICON,D-3,25.6
2026-06-04,GFS,D-1,24.0
2026-06-04,GFS,D-2,24.0
2026-06-04,GFS,D-3,25.4
2026-06-05,ECMWF,D-1,23.8
2026-06-05,ECMWF,D-2,24.0
2026-06-05,ECMWF,D-3,24.5
2026-06-05,ICON,D-1,25.8
2026-06-05,ICON,D-2,26.2
2026-06-05,ICON,D-3,26.4
2026-06-05,GFS,D-1,19.7
2026-06-05,GFS,D-2,19.5
2026-06-05,GFS,D-3,21.8
2026-06-06,ECMWF,D-1,24.1
2026-06-06,ECMWF,D-2,23.8
2026-06-06,ECMWF,D-3,23.7
2026-06-06,ICON,D-1,25.5
2026-06-06,ICON,D-2,25.0
2026-06-06,ICON,D-3,25.3
2026-06-06,GFS,D-1,24.7
2026-06-06,GFS,D-2,24.4
2026-06-06,GFS,D-3,24.7
2026-06-07,ECMWF,D-1,26.6
2026-06-07,ECMWF,D-2,26.5
2026-06-07,ECMWF,D-3,26.6
2026-06-07,ICON,D-1,29.1
2026-06-07,ICON,D-2,28.6
2026-06-07,ICON,D-3,28.7
2026-06-07,GFS,D-1,27.0
2026-06-07,GFS,D-2,27.0
2026-06-07,GFS,D-3,27.1
2026-06-08,ECMWF,D-1,27.8
2026-06-08,ECMWF,D-2,27.6
2026-06-08,ECMWF,D-3,27.8
2026-06-08,ICON,D-1,30.0
2026-06-08,ICON,D-2,30.5
2026-06-08,ICON,D-3,29.5
2026-06-08,GFS,D-1,27.9
2026-06-08,GFS,D-2,28.4
2026-06-08,GFS,D-3,28.6
2026-06-09,ECMWF,D-1,27.7
2026-06-09,ECMWF,D-2,27.2
2026-06-09,ECMWF,D-3,26.9
2026-06-09,ICON,D-1,29.6
2026-06-09,ICON,D-2,28.8
2026-06-09,ICON,D-3,30.3
2026-06-09,GFS,D-1,27.3
2026-06-09,GFS,D-2,27.9
2026-06-09,GFS,D-3,27.8
2026-06-10,ECMWF,D-1,22.9
2026-06-10,ECMWF,D-2,23.8
2026-06-10,ECMWF,D-3,23.7
2026-06-10,ICON,D-1,27.9
2026-06-10,ICON,D-2,24.9
2026-06-10,ICON,D-3,26.6
2026-06-10,GFS,D-1,21.8
2026-06-10,GFS,D-2,24.0
2026-06-10,GFS,D-3,26.2
2026-06-11,ECMWF,D-1,26.3
2026-06-11,ECMWF,D-2,24.9
2026-06-11,ECMWF,D-3,25.3
2026-06-11,ICON,D-1,27.7
2026-06-11,ICON,D-2,26.7
2026-06-11,ICON,D-3,26.3
2026-06-11,GFS,D-1,24.5
2026-06-11,GFS,D-2,24.2
2026-06-11,GFS,D-3,21.7
2026-06-12,ECMWF,D-1,28.2
2026-06-12,ECMWF,D-2,26.6
2026-06-12,ECMWF,D-3,25.3
2026-06-12,ICON,D-1,28.9
2026-06-12,ICON,D-2,28.8
2026-06-12,ICON,D-3,27.6
2026-06-12,GFS,D-1,25.5
2026-06-12,GFS,D-2,25.2
2026-06-12,GFS,D-3,26.0
2026-06-13,ECMWF,D-1,34.1
2026-06-13,ECMWF,D-2,33.6
2026-06-13,ECMWF,D-3,32.3
2026-06-13,ICON,D-1,33.0
2026-06-13,ICON,D-2,33.6
2026-06-13,ICON,D-3,34.0
2026-06-13,GFS,D-1,29.9
2026-06-13,GFS,D-2,29.5
2026-06-13,GFS,D-3,28.2
2026-06-14,ECMWF,D-1,33.2
2026-06-14,ECMWF,D-2,33.5
2026-06-14,ECMWF,D-3,33.8
2026-06-14,ICON,D-1,32.5
2026-06-14,ICON,D-2,33.1
2026-06-14,ICON,D-3,33.4
2026-06-14,GFS,D-1,29.4
2026-06-14,GFS,D-2,28.7
2026-06-14,GFS,D-3,28.7
2026-06-15,ECMWF,D-1,32.8
2026-06-15,ECMWF,D-2,32.7
2026-06-15,ECMWF,D-3,33.4
2026-06-15,ICON,D-1,33.0
2026-06-15,ICON,D-2,32.6
2026-06-15,ICON,D-3,32.3
2026-06-15,GFS,D-1,28.7
2026-06-15,GFS,D-2,29.2
2026-06-15,GFS,D-3,28.6
2026-06-16,ECMWF,D-1,31.5
2026-06-16,ECMWF,D-2,31.5
2026-06-16,ECMWF,D-3,31.4
2026-06-16,ICON,D-1,30.8
2026-06-16,ICON,D-2,30.6
2026-06-16,ICON,D-3,30.5
2026-06-16,GFS,D-1,28.5
2026-06-16,GFS,D-2,27.6
2026-06-16,GFS,D-3,27.1
2026-06-17,ECMWF,D-1,34.9
2026-06-17,ECMWF,D-2,35.0
2026-06-17,ECMWF,D-3,35.0
2026-06-17,ICON,D-1,33.3
2026-06-17,ICON,D-2,33.8
2026-06-17,ICON,D-3,34.2
2026-06-17,GFS,D-1,32.4
2026-06-17,GFS,D-2,31.6
2026-06-17,GFS,D-3,32.2
2026-06-18,ECMWF,D-1,35.1
2026-06-18,ECMWF,D-2,35.6
2026-06-18,ECMWF,D-3,35.4
2026-06-18,ICON,D-1,34.4
2026-06-18,ICON,D-2,34.8
2026-06-18,ICON,D-3,34.6
2026-06-18,GFS,D-1,33.4
2026-06-18,GFS,D-2,32.9
2026-06-18,GFS,D-3,32.1
2026-06-19,ECMWF,D-1,35.1
2026-06-19,ECMWF,D-2,36.0
2026-06-19,ECMWF,D-3,36.2
2026-06-19,ICON,D-1,34.1
2026-06-19,ICON,D-2,33.9
2026-06-19,ICON,D-3,34.8
2026-06-19,GFS,D-1,33.2
2026-06-19,GFS,D-2,33.5
2026-06-19,GFS,D-3,33.1
2026-06-20,ECMWF,D-1,36.6
2026-06-20,ECMWF,D-2,36.0
2026-06-20,ECMWF,D-3,34.4
2026-06-20,ICON,D-1,35.5
2026-06-20,ICON,D-2,34.7
2026-06-20,ICON,D-3,34.4
2026-06-20,GFS,D-1,35.1
2026-06-20,GFS,D-2,34.3
2026-06-20,GFS,D-3,34.6
2026-06-21,ECMWF,D-1,36.6
2026-06-21,ECMWF,D-2,36.9
2026-06-21,ECMWF,D-3,36.5
2026-06-21,ICON,D-1,36.3
2026-06-21,ICON,D-2,35.5
2026-06-21,ICON,D-3,35.6
2026-06-21,GFS,D-1,35.4
2026-06-21,GFS,D-2,35.8
2026-06-21,GFS,D-3,35.0
2026-06-22,ECMWF,D-1,36.5
2026-06-22,ECMWF,D-2,36.7
2026-06-22,ECMWF,D-3,37.3
2026-06-22,ICON,D-1,36.4
2026-06-22,ICON,D-2,36.6
2026-06-22,ICON,D-3,35.9
2026-06-22,GFS,D-1,36.2
2026-06-22,GFS,D-2,36.6
2026-06-22,GFS,D-3,35.5
2026-06-23,ECMWF,D-1,36.1
2026-06-23,ECMWF,D-2,36.8
2026-06-23,ECMWF,D-3,36.5
2026-06-23,ICON,D-1,35.5
2026-06-23,ICON,D-2,36.3
2026-06-23,ICON,D-3,35.6
2026-06-23,GFS,D-1,35.8
2026-06-23,GFS,D-2,35.6
2026-06-23,GFS,D-3,35.1
2026-06-24,ECMWF,D-1,34.0
2026-06-24,ECMWF,D-2,35.7
2026-06-24,ECMWF,D-3,35.4
2026-06-24,ICON,D-1,35.3
2026-06-24,ICON,D-2,32.6
2026-06-24,ICON,D-3,34.7
2026-06-24,GFS,D-1,33.5
2026-06-24,GFS,D-2,33.9
2026-06-24,GFS,D-3,33.2
2026-06-25,ECMWF,D-1,35.1
2026-06-25,ECMWF,D-2,36.1
2026-06-25,ECMWF,D-3,35.3
2026-06-25,ICON,D-1,35.8
2026-06-25,ICON,D-2,33.9
2026-06-25,ICON,D-3,34.4
2026-06-25,GFS,D-1,34.9
2026-06-25,GFS,D-2,34.7
2026-06-25,GFS,D-3,34.8
2026-06-26,ECMWF,D-1,36.6
2026-06-26,ECMWF,D-2,36.5
2026-06-26,ECMWF,D-3,36.3
2026-06-26,ICON,D-1,36.6
2026-06-26,ICON,D-2,36.2
2026-06-26,ICON,D-3,35.0
2026-06-26,GFS,D-1,35.4
2026-06-26,GFS,D-2,35.5
2026-06-26,GFS,D-3,35.5
2026-06-27,ECMWF,D-1,37.3
2026-06-27,ECMWF,D-2,37.1
2026-06-27,ECMWF,D-3,37.6
2026-06-27,ICON,D-1,37.3
2026-06-27,ICON,D-2,36.8
2026-06-27,ICON,D-3,35.6
2026-06-27,GFS,D-1,36.4
2026-06-27,GFS,D-2,37.1
2026-06-27,GFS,D-3,36.8
2026-06-28,ECMWF,D-1,37.8
2026-06-28,ECMWF,D-2,37.8
2026-06-28,ECMWF,D-3,37.8
2026-06-28,ICON,D-1,38.0
2026-06-28,ICON,D-2,36.7
2026-06-28,ICON,D-3,36.7
2026-06-28,GFS,D-1,37.7
2026-06-28,GFS,D-2,37.9
2026-06-28,GFS,D-3,38.3
2026-06-29,ECMWF,D-1,34.6
2026-06-29,ECMWF,D-2,37.6
2026-06-29,ECMWF,D-3,35.9
2026-06-29,ICON,D-1,37.7
2026-06-29,ICON,D-2,35.4
2026-06-29,ICON,D-3,35.5
2026-06-29,GFS,D-1,35.2
2026-06-29,GFS,D-2,37.0
2026-06-29,GFS,D-3,36.0
2026-06-30,ECMWF,D-1,34.8
2026-06-30,ECMWF,D-2,34.4
2026-06-30,ECMWF,D-3,34.5
2026-06-30,ICON,D-1,34.5
2026-06-30,ICON,D-2,32.9
2026-06-30,ICON,D-3,33.6
2026-06-30,GFS,D-1,33.4
2026-06-30,GFS,D-2,35.4
2026-06-30,GFS,D-3,35.1
2026-07-01,ECMWF,D-1,33.3
2026-07-01,ECMWF,D-2,32.0
2026-07-01,ECMWF,D-3,35.1
2026-07-01,ICON,D-1,33.2
2026-07-01,ICON,D-2,33.0
2026-07-01,ICON,D-3,34.0
2026-07-01,GFS,D-1,33.6
2026-07-01,GFS,D-2,35.2
2026-07-01,GFS,D-3,36.5
2026-07-02,ECMWF,D-1,31.6
2026-07-02,ECMWF,D-2,32.8
2026-07-02,ECMWF,D-3,33.0
2026-07-02,ICON,D-1,31.3
2026-07-02,ICON,D-2,31.7
2026-07-02,ICON,D-3,33.2
2026-07-02,GFS,D-1,32.1
2026-07-02,GFS,D-2,31.4
2026-07-02,GFS,D-3,30.6
2026-07-03,ECMWF,D-1,32.8
2026-07-03,ECMWF,D-2,32.6
2026-07-03,ECMWF,D-3,33.1
2026-07-03,ICON,D-1,32.9
2026-07-03,ICON,D-2,32.5
2026-07-03,ICON,D-3,32.6
2026-07-03,GFS,D-1,33.2
2026-07-03,GFS,D-2,32.8
2026-07-03,GFS,D-3,33.2
2026-07-04,ECMWF,D-1,33.1
2026-07-04,ECMWF,D-2,32.6
2026-07-04,ECMWF,D-3,31.5
2026-07-04,ICON,D-1,33.5
2026-07-04,ICON,D-2,31.8
2026-07-04,ICON,D-3,32.5
2026-07-04,GFS,D-1,32.5
2026-07-04,GFS,D-2,32.2
2026-07-04,GFS,D-3,30.8
2026-07-05,ECMWF,D-1,35.3
2026-07-05,ECMWF,D-2,35.2
2026-07-05,ECMWF,D-3,35.1
2026-07-05,ICON,D-1,35.0
2026-07-05,ICON,D-2,33.9
2026-07-05,ICON,D-3,32.9
2026-07-05,GFS,D-1,34.9
2026-07-05,GFS,D-2,34.7
2026-07-05,GFS,D-3,34.3
2026-07-06,ECMWF,D-1,34.2
2026-07-06,ECMWF,D-2,36.2
2026-07-06,ECMWF,D-3,36.5
2026-07-06,ICON,D-1,33.3
2026-07-06,ICON,D-2,34.1
2026-07-06,ICON,D-3,34.4
2026-07-06,GFS,D-1,33.5
2026-07-06,GFS,D-2,35.1
2026-07-06,GFS,D-3,34.7
2026-07-07,ECMWF,D-1,35.8
2026-07-07,ECMWF,D-2,35.6
2026-07-07,ECMWF,D-3,36.0
2026-07-07,ICON,D-1,34.2
2026-07-07,ICON,D-2,34.7
2026-07-07,ICON,D-3,35.5
2026-07-07,GFS,D-1,34.9
2026-07-07,GFS,D-2,35.5
2026-07-07,GFS,D-3,35.9
2026-07-08,ECMWF,D-1,37.4
2026-07-08,ECMWF,D-2,38.1
2026-07-08,ECMWF,D-3,39.0
2026-07-08,ICON,D-1,37.7
2026-07-08,ICON,D-2,36.4
2026-07-08,ICON,D-3,37.6
2026-07-08,GFS,D-1,39.0
2026-07-08,GFS,D-2,38.5
2026-07-08,GFS,D-3,38.9
2026-07-09,ECMWF,D-1,34.0
2026-07-09,ECMWF,D-2,34.5
2026-07-09,ECMWF,D-3,34.9
2026-07-09,ICON,D-1,33.9
2026-07-09,ICON,D-2,32.7
2026-07-09,ICON,D-3,33.1
2026-07-09,GFS,D-1,34.9
2026-07-09,GFS,D-2,34.7
2026-07-09,GFS,D-3,35.4
2026-07-10,ECMWF,D-1,34.0
2026-07-10,ECMWF,D-2,34.3
2026-07-10,ECMWF,D-3,34.2
2026-07-10,ICON,D-1,34.3
2026-07-10,ICON,D-2,33.1
2026-07-10,ICON,D-3,32.4
